iter	Passed	Remaining
0	1	176
1	3	150
2	5	169
3	6	167
4	8	162
5	10	157
6	11	149
7	12	141
8	13	134
9	14	128
10	15	123
11	16	120
12	17	117
13	18	116
14	20	115
15	21	112
16	22	109
17	23	107
18	24	104
19	25	102
20	26	100
21	27	98
22	29	97
23	30	95
24	32	96
25	34	99
26	36	97
27	37	95
28	38	93
29	39	91
30	40	89
31	41	87
32	42	85
33	43	84
34	45	84
35	47	84
36	48	83
37	49	81
38	50	79
39	51	77
40	52	76
41	53	73
42	55	72
43	56	71
44	57	70
45	58	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	66	59
53	67	57
54	68	55
55	69	54
56	70	53
57	71	51
58	72	50
59	74	49
60	75	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	11
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
